Folder Temperature Condition Column Mean "Std Dev"
L5-L5 300K/Energy "dist < 12" both-final -96.40640833333332 18.3464076511732
L5-L5 300K/Energy "dist < 12" lig-wat-final 25547.65341875002 2205.5159248134964
L5-L5 300K/Energy "dist < 12" pni-wat-final 31019.90460291667 913.4851197907656
L5-L5 300K/Energy "dist > 12" pni -82.92554035087718 8.45804220657264
L5-L5 300K/Energy "dist > 12" lig -16.586819298245615 7.519115812795285
L5-L5 300K/Energy "dist > 12" wat -213055.9448368421 193.035428882998
L5-L5 300K/Energy "dist > 12" both-final -59.68702807017545 20.104998599573214
L5-L5 300K/Energy "dist > 12" lig-wat-final 25069.91015263158 2058.831256941379
L5-L5 300K/Energy "dist > 12" pni-wat-final 31029.295673684213 1062.340807856435
L5-L5 305K/Energy "dist < 12" pni -85.78836745098036 6.536534527416622
L5-L5 305K/Energy "dist < 12" lig -32.98589490196077 8.23944001180441
L5-L5 305K/Energy "dist < 12" wat -212083.84020980395 208.3631481605889
L5-L5 305K/Energy "dist < 12" both-final -108.28647686274509 21.754085396522353
L5-L5 305K/Energy "dist < 12" lig-wat-final 25267.510791372555 2192.936024049745
L5-L5 305K/Energy "dist < 12" pni-wat-final 30905.31862588235 992.0140705273681
L5-L5 305K/Energy "dist > 12" pni -81.79109285714284 8.793259092093184
L5-L5 305K/Energy "dist > 12" lig -16.166364285714288 8.217004693297248
L5-L5 305K/Energy "dist > 12" wat -211986.36753095238 210.66110666619124
L5-L5 305K/Energy "dist > 12" both-final -59.27025238095238 21.651487839353607
L5-L5 305K/Energy "dist > 12" lig-wat-final 25081.41696904762 2469.197350524526
L5-L5 305K/Energy "dist > 12" pni-wat-final 30982.19366666666 950.2955345786763
L5-L5 310K/Energy "dist < 12" pni -87.42881588235298 7.9725381025721775
L5-L5 310K/Energy "dist < 12" lig -35.85734999999999 7.4907585797296194
L5-L5 310K/Energy "dist < 12" wat -210998.1401388234 188.6953786827502
L5-L5 310K/Energy "dist < 12" both-final -109.96594411764708 21.051671795356366
L5-L5 310K/Energy "dist < 12" lig-wat-final 25423.526301176484 2263.3251919503755
L5-L5 310K/Energy "dist < 12" pni-wat-final 31050.932255882348 1060.9772949893652
L5-L5 310K/Energy "dist > 12" pni -81.3318307086614 7.222646962890921
L5-L5 310K/Energy "dist > 12" lig -14.92897637795276 6.327979429868147
L5-L5 310K/Energy "dist > 12" wat -210929.29240551178 232.96225426307865
L5-L5 310K/Energy "dist > 12" both-final -63.34599921259841 19.428378502974468
L5-L5 310K/Energy "dist > 12" lig-wat-final 24813.89155905511 2046.8555619819365
